Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip.Hab.Fra.,Régimen factura,AD,NI,CU,Horario venta,Precio alojamiento,Precio desayuno,Precio almuerzo,Precio cena,Cantidad Habitaciones,Mes Entrada,Mes Venta,Antelacion,Score Canc
2016-09-12,2016-02-10,2015-11-04,4,EM,SA,2,0,0,Mañana,416.16,0.0,0.0,0.0,1,September,November,313,0.6878980891719745
2016-07-01,2016-06-13,2015-12-01,2,EM,HD,2,0,0,Mañana,122.25,5.1,0.0,0.0,1,July,December,213,0.08878504672897196
2016-07-08,2016-06-04,2015-12-17,2,EC,PC,4,0,0,Tarde,178.56,9.4,23.5,23.5,1,July,December,204,0.17073170731707318
2016-07-18,2016-06-11,2015-12-17,7,DSC,SA,2,0,0,Tarde,469.0,0.0,0.0,0.0,1,July,December,214,0.17674418604651163
2016-07-12,2016-07-04,2015-12-28,5,EC,SA,2,0,0,Mañana,291.31,0.0,0.0,0.0,1,July,December,197,0.045454545454545456
2016-06-23,2016-01-07,2016-01-04,17,EC,HD,3,0,0,Mañana,1292.20995,53.89,0.0,0.0,1,June,January,171,0.9825581395348837
2016-08-01,2016-02-22,2016-01-04,10,DSM,HD,2,0,0,Mañana,1096.63,45.7,0.0,0.0,1,August,January,210,0.7677725118483413
2016-08-15,2016-06-16,2016-01-07,6,DSM,MPC,4,0,0,Mañana,922.38,42.900000000000006,0.0,107.28,1,August,January,221,0.2747747747747748
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Mañana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.9821428571428571
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Mañana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.9821428571428571
2016-06-23,2016-01-11,2016-01-08,3,DSM,PC,2,0,0,Mañana,277.16001,14.580000000000002,36.48,36.48,3,June,January,167,0.9821428571428571
2016-06-24,2016-01-11,2016-01-10,2,IND,PC,1,0,0,Mañana,0.0,0.0,0.0,0.0,1,June,January,166,0.9940119760479041
2016-06-18,2016-06-17,2016-01-12,4,EC,PC,2,0,0,Mañana,238.16,12.52,31.32,31.32,1,June,January,158,0.012578616352201259
2016-06-18,2016-06-08,2016-01-12,1,EC,SA,3,0,0,Tarde,58.45,0.0,0.0,0.0,3,June,January,158,0.06918238993710692
2016-07-01,2016-03-21,2016-01-14,6,DSM,PC,4,0,0,Mañana,749.20998,39.42,98.58,98.58,1,July,January,169,0.6058823529411764
2016-07-08,2016-01-18,2016-01-15,2,EC,SA,2,0,0,Mañana,227.44,0.0,0.0,0.0,2,July,January,175,0.9829545454545454
2016-07-08,2016-01-18,2016-01-15,2,EC,SA,2,0,0,Mañana,227.44,0.0,0.0,0.0,2,July,January,175,0.9829545454545454
2016-06-20,2016-05-07,2016-01-18,6,DSM,PC,2,0,0,Tarde,554.3100000000001,29.160000000000004,72.96000000000001,72.96000000000001,1,June,January,154,0.2903225806451613
2016-06-24,2016-06-17,2016-01-19,2,EC,PC,3,0,0,Mañana,167.2,8.8,22.0,22.0,1,June,January,157,0.05063291139240506
2016-08-02,2016-02-12,2016-01-19,4,DSM,MPC,2,0,0,Mañana,476.18,22.16,0.0,55.36,1,August,January,196,0.8781725888324873
2016-08-23,2016-07-20,2016-01-19,7,DSM,MPC,2,0,0,Mañana,757.4900200000001,35.21,0.0,88.06,1,August,January,217,0.16055045871559634
2016-08-10,2016-05-19,2016-01-25,5,EC,MPC,2,0,0,Mañana,1004.65,46.75,0.0,116.8,1,August,January,198,0.4221105527638191
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,2,0,0,Mañana,221.73,11.67,29.19,29.19,3,June,January,149,0.9933333333333333
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,3,0,0,Mañana,221.73,11.67,29.19,29.19,3,June,January,149,0.9933333333333333
2016-06-23,2016-01-27,2016-01-26,3,EC,PC,4,0,0,Mañana,221.73,11.67,29.19,29.19,3,June,January,149,0.9933333333333333
2016-06-23,2016-06-06,2016-02-01,4,EM,PC,2,0,0,Mañana,249.72,13.16,32.84,32.84,1,June,February,143,0.125
2016-07-08,2016-05-11,2016-02-01,19,DSM,PC,2,0,0,Mañana,1764.45001,92.91,232.18,232.18,1,July,February,158,0.3710691823899371
2016-07-01,2016-02-08,2016-02-03,7,EC,PC,4,0,0,Mañana,866.8599800000001,45.64,114.03,114.03,1,July,February,149,0.9666666666666667
2016-06-24,2016-03-11,2016-02-05,2,EC,MPC,3,0,0,Mañana,209.02,9.72,0.0,24.3,2,June,February,140,0.75177304964539
2016-06-24,2016-03-11,2016-02-05,2,EC,MPC,3,0,0,Mañana,209.02,9.72,0.0,24.3,2,June,February,140,0.75177304964539
2016-07-08,2016-05-19,2016-02-09,3,DSC,MPC,1,0,0,Mañana,110.49,5.13,0.0,12.84,2,July,February,150,0.33774834437086093
2016-07-11,2016-06-10,2016-02-11,4,EC,SA,2,0,0,Tarde,256.1,0.0,0.0,0.0,1,July,February,151,0.21052631578947367
2016-07-11,2016-05-19,2016-02-19,2,DSC,MPC,2,0,0,Mañana,101.26,4.72,0.0,11.78,2,July,February,143,0.375
2016-07-10,2016-02-22,2016-02-11,5,EC,PC,2,2,0,Mañana,0.0,0.0,0.0,0.0,1,July,February,150,0.9271523178807947
2016-06-25,2016-02-22,2016-02-12,7,EC,PC,2,2,0,Mañana,0.0,0.0,0.0,0.0,1,June,February,134,0.9259259259259259
2016-07-15,2016-06-02,2016-03-01,16,IND,SA,1,0,0,Mañana,944.94,0.0,0.0,0.0,1,July,March,136,0.32116788321167883
2016-08-01,2016-06-02,2016-03-01,14,IND,SA,1,0,0,Mañana,1002.12,0.0,0.0,0.0,1,August,March,153,0.3961038961038961
2016-07-07,2016-05-03,2016-03-02,3,EC,MPA,2,0,0,Mañana,188.97,8.790000000000001,21.99,0.0,1,July,March,127,0.515625
2016-08-01,2016-05-25,2016-03-02,14,EC,MPA,2,0,0,Mañana,1232.0,57.26,143.22,0.0,1,August,March,152,0.45098039215686275
2016-06-15,2016-06-10,2016-03-03,4,EC,MPC,2,0,1,Mañana,252.04,11.72,0.0,29.32,1,June,March,104,0.05714285714285714
2016-07-18,2016-03-04,2016-03-03,4,EM,SA,2,1,0,Tarde,499.6,0.0,0.0,0.0,1,July,March,137,0.9927536231884058
2016-06-24,2016-03-05,2016-03-03,2,EC,PC,2,0,0,Tarde,187.84,9.88,24.72,24.72,1,June,March,113,0.9824561403508771
2016-06-24,2016-05-22,2016-03-03,4,EC,PC,2,0,0,Mañana,375.68,19.76,49.44,49.44,1,June,March,113,0.2982456140350877
2016-06-23,2016-06-16,2016-03-04,7,EC,PC,2,2,0,Mañana,904.05,47.6,118.93,118.93,1,June,March,111,0.07142857142857142
2016-07-28,2016-07-15,2016-03-05,9,EC,SA,4,0,0,Mañana,925.65999,0.0,0.0,0.0,1,July,March,145,0.0958904109589041
2016-06-24,2016-04-30,2016-03-07,8,EC,PC,3,0,0,Mañana,773.76,40.72,101.84,101.84,1,June,March,109,0.509090909090909
2016-07-01,2016-03-07,2016-03-07,14,EM,PC,2,0,0,Mañana,0.0,0.0,0.0,0.0,1,July,March,116,1.0
2016-07-09,2016-05-19,2016-03-07,5,EC,SA,2,1,0,Mañana,257.7,0.0,0.0,0.0,1,July,March,124,0.416
2016-06-25,2016-04-23,2016-03-08,3,EC,SA,2,0,0,Mañana,171.78,0.0,0.0,0.0,1,June,March,109,0.5818181818181818
